Name	Age	G	GS	CG	Inn	Ch	PO	A	E	DP	Fld%	Rtot	Rtot/yr	RF/9	RF/G	PB	WP	SB	CS	CS%	lgCS%	PICK	Pos Summary
Brian Anderson	29	29	22	1	133.1	43	9	32	2	2	.953			2.77	1.41		2	7	5	42%	33%	7	P
Rod Barajas	25	50	31	20	278.1	191	179	11	1	3	.995	-2	-9	6.14	3.80	0	12	27	8	23%	33%	1	C
Miguel Batista	30	48	18	0	139.1	25	7	17	1	1	.960			1.55	0.50		6	24	6	20%	33%	1	P
Danny Bautista	29	61	42	30	412.2	106	102	4	0	2	1.000	4	13	2.31	1.66								CF-RF-LF
Jay Bell	35	115	111	87	967.1	406	175	224	7	46	.983	-4	-4	3.71	3.24								2B-3B-DH
Nick Bierbrodt	23	5	5	0	23.0	9	1	8	0	1	1.000			3.52	1.80		0	2	2	50%	33%	2	P
Troy Brohawn	28	59	0	0	49.1	10	2	8	0	1	1.000			1.82	0.17		2	5	1	17%	33%	1	P
Ryan Christenson	27	5	0	0	7.1	1	1	0	0	0	1.000	0	-16	1.23	0.20								LF-CF
Alex Cintron	22	7	0	0	15.2	8	2	6	0	0	1.000	1	46	4.60	1.14								SS
Greg Colbrunn	31	24	17	5	145.0	93	73	17	3	8	.968	-2	-15	5.59	3.75								1B-3B
Jason Conti	26	1	0	0	2.0	0	0	0	0	0		0	0	0.00	0.00								RF
Craig Counsell	30	131	113	87	1062.0	517	193	316	8	69	.985	10	12	4.31	3.33								SS-2B-3B-1B
Midre Cummings	29	4	0	0	9.0	4	4	0	0	0	1.000	1	93	4.00	1.00								LF-RF
Jack Cust	22	1	0	0	2.0	0	0	0	0	0		0	-60	0.00	0.00								LF
David Dellucci	27	58	40	30	384.0	91	90	0	1	0	.989	2	6	2.11	1.48								RF-CF-LF
Mike Difelice	32	12	7	5	59.2	57	53	3	1	1	.982	1	20	8.45	4.67	1	2	1	3	75%	33%	0	C
Erubiel Durazo	27	40	28	21	277.2	272	252	18	2	22	.993	2	7	8.75	5.74								1B-RF-DH
Robert Ellis	30	19	17	0	92.0	20	8	12	0	0	1.000			1.96	1.05		3	6	3	33%	33%	0	P
Steve Finley	36	131	124	117	1111.2	308	300	6	2	3	.994	3	4	2.48	2.32		0	0	0			0	CF-P
Luis Gonzalez	33	161	161	145	1416.2	288	280	8	0	1	1.000	5	4	1.83	1.79								LF
Mark Grace	37	135	127	111	1111.0	1062	995	62	5	99	.995	5	6	8.56	7.83								1B
Geraldo Guzman	28	4	0	0	9.1	0	0	0	0	0				0.00	0.00		0	0	0			0	P
Ken Huckaby	30	1	0	0	3.0	5	5	0	0	0	1.000	0	0	15.00	5.00	0	0	0	0			0	C
Randy Johnson	37	35	34	3	249.2	33	2	27	4	1	.879			1.05	0.83		8	19	15	44%	33%	4	P
Byung-Hyun Kim	22	78	0	0	98.0	24	4	19	1	0	.958			2.11	0.29		5	9	4	31%	33%	0	P
Eric Knott	26	3	1	0	4.2	0	0	0	0	0				0.00	0.00		0	0	0			0	P
Mike Koplove	24	9	0	0	10.0	1	0	1	0	0	1.000			0.90	0.11		1	0	0			0	P
Albie Lopez	29	13	13	2	81.0	13	1	12	0	0	1.000			1.44	1.00		1	9	4	31%	33%	1	P
Matt Mantei	27	8	0	0	7.0	0	0	0	0	0				0.00	0.00		2	0	0			0	P
Damian Miller	31	121	111	83	978.0	1054	966	81	7	6	.993	3	4	9.63	8.65	10	27	68	39	36%	33%	0	C
Chad Moeller	26	25	13	10	140.2	118	111	7	0	0	1.000	0	0	7.55	4.72	1	4	11	5	31%	33%	0	C
Mike Mohler	32	13	0	0	13.2	2	0	2	0	0	1.000			1.32	0.15		1	1	0	0%	33%	0	P
Mike Morgan	41	31	1	0	38.0	1	0	0	1	0	.000			0.00	0.00		2	1	1	50%	34%	0	P
Bret Prinz	24	46	0	0	41.0	9	3	6	0	1	1.000			1.98	0.20		1	4	2	33%	33%	0	P
Armando Reynoso	35	9	9	0	46.2	13	1	11	1	2	.923			2.31	1.33		1	1	0	0%	33%	0	P
Erik Sabel	26	42	0	0	51.1	8	3	5	0	1	1.000			1.40	0.19		1	2	1	33%	33%	0	P
Reggie Sanders	33	119	117	102	1019.2	237	231	5	1	3	.996	9	11	2.08	1.98								RF
Curt Schilling	34	35	35	6	256.2	37	15	21	1	4	.973			1.26	1.03		4	4	9	69%	33%	2	P
Juan Sosa	25	1	0	0	1.0	1	0	1	0	0	1.000	0	240	9.00	1.00								3B
Junior Spivey	26	66	39	35	393.0	203	96	104	3	27	.985	-2	-5	4.58	2.99								2B-SS
Russ Springer	32	18	0	0	17.2	5	1	3	1	0	.800			2.04	0.22		2	2	0	0%	34%	0	P
Greg Swindell	36	64	0	0	53.2	4	1	3	0	1	1.000			0.67	0.06		1	5	1	17%	33%	1	P
Matt Williams	35	103	101	85	866.1	251	60	182	9	18	.964	3	4	2.51	2.33								3B-SS
Bobby Witt	37	14	7	0	43.1	7	1	6	0	0	1.000			1.45	0.50		2	6	1	14%	33%	0	P
Tony Womack	31	119	114	101	1014.2	485	152	311	22	74	.955	9	11	4.11	3.89								SS-CF
