Name	Age		B	T	Ht	Wt	DoB	Yrs	G	GS	Batting	Defense	P	C	1B	2B	3B	SS	LF	CF	RF	OF	DH	PH	PR	WAR	Salary	
Brian Anderson	29	us US	L	L	6' 1"	190	Apr 26, 1972	9	33	22	31	29	29	0	0	0	0	0	0	0	0	0	0	1	3	-1.1	$4,125,000	
Rod Barajas	25	us US	R	R	6' 2"	250	Sep 5, 1975	3	51	31	51	50	0	50	0	0	0	0	0	0	0	0	0	3	0	-1.0	$208,000	
Miguel Batista	30	do DO	R	R	6' 1"	210	Feb 19, 1971	7	48	18	46	48	48	0	0	0	0	0	0	0	0	0	0	2	0	2.6	$400,000	
Danny Bautista	29	do DO	R	R	5' 11"	170	May 24, 1972	9	100	42	100	61	0	0	0	0	0	0	3	28	33	61	0	46	1	0.7	$675,000	
Jay Bell	35	us US	R	R	6' 1"	180	Dec 11, 1965	16	129	114	129	115	0	0	0	80	40	0	0	0	0	0	3	13	1	0.4	$8,050,000	
Nick Bierbrodt	23	us US	L	L	6' 5"	215	May 16, 1978	1st	6	5	6	5	5	0	0	0	0	0	0	0	0	0	0	0	1	0.0	$200,000	
Troy Brohawn	28	us US	L	L	6' 1"	190	Jan 14, 1973	1st	59	0	57	59	59	0	0	0	0	0	0	0	0	0	0	0	0	0.2		
Ryan Christenson	27	us US	R	R	5' 11"	175	Mar 28, 1974	4	19	0	19	5	0	0	0	0	0	0	4	1	0	5	0	3	11	0.1		
Alex Cintron	22	pr PR	B	R	6' 2"	210	Dec 17, 1978	1st	8	0	8	7	0	0	0	0	0	7	0	0	0	0	0	1	1	0.0		
Greg Colbrunn	31	us US	R	R	6' 0"	190	Jul 26, 1969	10	59	17	59	24	0	0	14	0	10	0	0	0	0	0	0	37	0	0.3	$1,600,000	
Jason Conti	26	us US	L	R	5' 11"	180	Jan 27, 1975	2	5	0	5	1	0	0	0	0	0	0	0	0	1	1	0	4	0	0.0		
Craig Counsell	30	us US	L	R	6' 0"	180	Aug 21, 1970	6	141	113	141	131	0	0	2	55	38	58	0	0	0	0	0	13	5	1.7		
Midre Cummings	29	vi VI	L	R	6' 1"	190	Oct 14, 1971	9	20	0	20	4	0	0	0	0	0	0	3	0	1	4	0	17	1	0.0	$425,000	
Jack Cust	22	us US	L	R	6' 1"	250	Jan 16, 1979	1st	3	0	3	1	0	0	0	0	0	0	1	0	0	1	0	2	0	0.0		
David Dellucci	27	us US	L	L	5' 10"	180	Oct 31, 1973	5	115	40	115	58	0	0	0	0	0	0	8	18	35	58	0	67	0	1.0	$325,000	
Mike Difelice	32	us US	R	R	6' 2"	205	May 28, 1969	6	12	7	12	12	0	12	0	0	0	0	0	0	0	0	0	0	0	-0.4		
Erubiel Durazo	27	mx MX	L	L	6' 3"	240	Jan 23, 1974	3	92	34	92	40	0	0	38	0	0	0	0	0	2	2	7	49	0	1.2	$260,000	
Robert Ellis	30	us US	R	R	6' 5"	220	Dec 15, 1970	2	19	17	17	19	19	0	0	0	0	0	0	0	0	0	0	0	0	-0.4		
Steve Finley	36	us US	L	L	6' 2"	175	Mar 12, 1965	13	140	124	140	131	1	0	0	0	0	0	0	131	0	131	0	13	0	0.9	$5,375,000	
Luis Gonzalez	33	us US	L	R	6' 2"	180	Sep 3, 1967	12	162	161	162	161	0	0	0	0	0	0	161	0	0	161	0	1	0	7.9	$4,833,333	All-Star
Mark Grace	37	us US	L	L	6' 2"	190	Jun 28, 1964	14	145	127	145	135	0	0	135	0	0	0	0	0	0	0	0	10	0	2.4	$3,000,000	
Geraldo Guzman	28	do DO	R	R	6' 2"	180	Nov 28, 1972	2	4	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0.1		
Ken Huckaby	30	us US	R	R	6' 1"	205	Jan 27, 1971	1st	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0		
Randy Johnson	37	us US	R	L	6' 10"	225	Sep 10, 1963	14	35	34	33	35	35	0	0	0	0	0	0	0	0	0	0	0	0	9.5	$13,350,000	All-Star
Byung-Hyun Kim	22	kr KR	R	R	5' 11"	176	Jan 19, 1979	3	78	0	74	78	78	0	0	0	0	0	0	0	0	0	0	0	0	3.1	$762,500	
Eric Knott	26	us US	L	L	6' 0"	188	Sep 23, 1974	1st	3	1	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	-0.5		
Mike Koplove	24	us US	R	R	6' 0"	165	Aug 30, 1976	1st	9	0	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	-0.1		
Albie Lopez	29	us US	R	R	6' 2"	240	Aug 18, 1971	9	13	13	13	13	13	0	0	0	0	0	0	0	0	0	0	0	0	1.3		
Matt Mantei	27	us US	R	R	6' 1"	181	Jul 7, 1973	6	8	0	8	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0.3	$3,583,333	
Damian Miller	31	us US	R	R	6' 3"	202	Oct 13, 1969	5	123	111	123	121	0	121	0	0	0	0	0	0	0	0	0	4	0	1.5	$1,250,000	
Chad Moeller	26	us US	R	R	6' 3"	207	Feb 18, 1975	2	25	13	25	25	0	25	0	0	0	0	0	0	0	0	0	2	0	-0.1		
Mike Mohler	32	us US	R	L	6' 2"	195	Jul 26, 1968	9	13	0	12	13	13	0	0	0	0	0	0	0	0	0	0	0	0	-0.2		
Mike Morgan	41	us US	R	R	6' 3"	195	Oct 8, 1959	21	31	1	31	31	31	0	0	0	0	0	0	0	0	0	0	0	0	0.4	$700,000	
Lyle Overbay	24	us US	L	L	6' 2"	235	Jan 28, 1977	1st	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0.0		
Bret Prinz	24	us US	R	R	6' 3"	185	Jun 15, 1977	1st	46	0	44	46	46	0	0	0	0	0	0	0	0	0	0	0	0	1.2		
Armando Reynoso	35	mx MX	R	R	6' 0"	186	May 1, 1966	11	9	9	8	9	9	0	0	0	0	0	0	0	0	0	0	0	0	-0.3	$2,000,000	
Rob Ryan	28	us US	L	L	5' 11"	190	Jun 24, 1973	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0		
Erik Sabel	26	us US	R	R	6' 3"	193	Oct 14, 1974	2	42	0	37	42	42	0	0	0	0	0	0	0	0	0	0	0	0	0.4		
Reggie Sanders	33	us US	R	R	6' 0"	180	Dec 1, 1967	11	126	117	126	119	0	0	0	0	0	0	0	0	119	119	0	9	0	3.3	$1,500,000	
Curt Schilling	34	us US	R	R	6' 5"	205	Nov 14, 1966	14	35	35	34	35	35	0	0	0	0	0	0	0	0	0	0	0	0	8.5	$6,500,000	All-Star
Juan Sosa	25	do DO	R	R	6' 1"	175	Aug 19, 1975	2	2	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0.0		
Junior Spivey	26	us US	R	R	6' 0"	185	Jan 28, 1975	1st	72	39	72	66	0	0	0	66	0	1	0	0	0	0	0	8	9	0.4		
Russ Springer	32	us US	R	R	6' 4"	195	Nov 7, 1968	10	18	0	18	18	18	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	$1,700,000	
Greg Swindell	36	us US	R	L	6' 2"	225	Jan 2, 1965	16	64	0	62	64	64	0	0	0	0	0	0	0	0	0	0	0	0	0.7	$2,533,333	
Matt Williams	35	us US	R	R	6' 2"	205	Nov 28, 1965	15	106	101	106	103	0	0	0	0	102	2	0	0	0	0	0	5	0	1.1	$9,000,000	
Bobby Witt	37	us US	R	R	6' 2"	190	May 11, 1964	16	14	7	14	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0.5	$500,000	
Tony Womack	31	us US	L	R	5' 9"	160	Sep 25, 1969	8	125	114	125	119	0	0	0	0	0	118	0	1	0	1	0	8	1	1.4	$4,000,00
