Name	Age	G	GS	CG	Inn	Ch	PO	A	E	DP	Fld%	Rtot	Rtot/yr	RF/9	RF/G	PB	WP	SB	CS	CS%	lgCS%	PICK	Pos Summary
Carlos Almanzar	27	10	0	0	10.2	3	1	2	0	0	1.000			2.53	0.30		0	0	0			0	P
Erick Almonte	23	4	0	0	10.0	8	4	3	1	1	.875	0	-36	6.30	1.00								SS-DH
Clay Bellinger	32	47	22	9	237.2	82	45	34	3	8	.963	0	0	2.99	1.55								3B-CF-LF-1B-RF-SS-DH
Brian Boehringer	32	22	0	0	34.2	2	0	2	0	0	1.000			0.52	0.09		0	4	0	0%	29%	0	P
Darren Bragg	31	3	0	0	8.0	2	2	0	0	0	1.000	0	45	2.25	0.67								RF
Scott Brosius	34	120	120	114	1080.2	342	82	238	22	21	.936	-1	-1	2.67	2.62								3B-CF
Randy Choate	25	37	0	0	48.1	13	2	11	0	1	1.000			2.42	0.35		3	2	1	33%	29%	0	P
Roger Clemens	38	33	33	0	220.1	46	11	33	2	3	.957			1.80	1.33		14	34	6	15%	29%	3	P
Michael Coleman	25	9	7	4	61.0	8	8	0	0	0	1.000	-2	-39	1.18	0.57								CF-RF-LF-DH
Bobby Estalella	26	3	1	1	14.0	15	14	1	0	0	1.000	0	0	9.64	5.00	0	0	1	0	0%	29%	0	C
Todd Greene	30	34	24	19	227.1	201	187	14	0	2	1.000	-5	-26	7.96	5.58	1	11	39	6	13%	29%	0	C-DH
Adrian Hernandez	26	6	3	0	22.0	5	1	3	1	0	.800			1.64	0.67		4	1	2	67%	29%	1	P
Orlando Hernandez	35	17	16	0	94.2	17	5	12	0	0	1.000			1.62	1.00		0	15	2	12%	29%	0	P
Sterling Hitchcock	30	10	9	1	51.1	8	3	5	0	0	1.000			1.40	0.80		2	10	0	0%	29%	0	P
Derek Jeter	27	150	150	133	1312.1	570	212	343	15	68	.974	-17	-15	3.81	3.70								SS
Brett Jodie	24	1	1	0	2.0	0	0	0	0	0				0.00	0.00		0	1	0	0%	29%	0	P
Nick Johnson	22	15	10	10	102.0	95	90	5	0	4	1.000	1	8	8.38	4.52								1B-DH
David Justice	35	25	22	13	189.1	54	49	4	1	1	.981	1	6	2.52	0.47								LF-RF-DH
Randy Keisler	25	10	10	0	50.2	10	2	6	2	0	.800			1.42	0.80		0	13	2	13%	29%	1	P
Brandon Knight	25	4	0	0	10.2	1	1	0	0	0	1.000			0.84	0.25		0	1	0	0%	29%	0	P
Chuck Knoblauch	32	108	104	86	890.0	181	171	8	2	4	.989	-2	-3	1.81	1.36								LF-DH
Ted Lilly	25	26	21	0	120.2	29	5	22	2	0	.931			2.01	1.04		9	23	8	26%	29%	7	P
Tino Martinez	33	149	146	131	1293.1	1248	1144	99	5	105	.996	-2	-1	8.65	8.18								1B-DH
Donzell McDonald	26	3	0	0	8.0	2	2	0	0	0	1.000	0	15	2.25	0.67								CF-LF
Ramiro Mendoza	29	56	2	0	100.2	21	7	14	0	1	1.000			1.88	0.38		2	7	1	13%	29%	0	P
Mike Mussina	32	34	34	4	228.2	44	18	25	1	4	.977			1.69	1.26		6	9	13	59%	29%	2	P
Paul O'Neill	38	130	127	104	1094.1	215	210	1	4	0	.981	-15	-17	1.74	1.55								RF-DH
Joe Oliver	35	12	10	9	98.1	106	101	4	1	0	.991	-2	-24	9.61	8.75	2	2	12	2	14%	29%	0	C
Christian Parker	25	1	1	0	3.0	2	0	2	0	0	1.000			6.00	2.00		0	2	0	0%	30%	0	P
Robert Perez	32	5	3	2	28.1	7	7	0	0	0	1.000	-1	-42	2.22	1.17								CF-RF-DH
Andy Pettitte	29	31	31	2	200.2	49	9	40	0	2	1.000			2.20	1.58		2	11	5	31%	29%	7	P
Jorge Posada	29	131	127	114	1120.2	1066	1003	52	11	12	.990	-4	-4	8.47	7.59	18	41	94	37	28%	29%	1	C-1B-DH
Juan Rivera	22	3	0	0	12.0	1	1	0	0	0	1.000	0	0	0.75	0.33								RF-CF
Mariano Rivera	31	71	0	0	80.2	33	17	15	1	0	.970			3.57	0.45		1	3	3	50%	29%	0	P
Luis Sojo	36	37	18	15	188.0	95	51	42	2	6	.979	1	6	4.45	2.45								3B-SS-1B-2B-DH
Alfonso Soriano	25	156	156	148	1384.1	703	318	366	19	93	.973	-19	-16	4.45	4.33								2B-DH
Shane Spencer	29	68	59	54	556.1	147	139	7	1	0	.993	10	21	2.36	1.70								LF-RF-DH
Mike Stanton	34	76	0	0	80.1	18	6	10	2	1	.889			1.79	0.21		3	2	2	50%	29%	3	P
Randy Velarde	38	10	10	6	83.0	37	18	18	1	1	.973	5	67	3.90	2.25								3B-LF-RF-1B-DH
Bernie Williams	32	144	144	132	1266.2	353	348	3	2	1	.994	-7	-7	2.49	2.42								CF-DH
Gerald Williams	34	26	6	5	105.0	30	29	0	1	0	.967	-1	-16	2.49	0.81								CF-LF-RF-DH
Todd Williams	30	15	0	0	15.1	6	1	3	2	0	.667			2.35	0.27		0	0	0			0	P
Enrique Wilson	27	42	22	17	240.0	104	29	73	2	9	.981	3	16	3.83	2.17								3B-SS-2B-DH
Jay Witasick	28	32	0	0	40.1	5	0	3	2	0	.600			0.67	0.09		1	3	0	0%	29%	0	P
Mark Wohlers	31	31	0	0	35.2	8	1	6	1	0	.875			1.77	0.23		7	5	0	0%	29%	0	P
