Name	Age		B	T	Ht	Wt	DoB	Yrs	G	GS	Batting	Defense	P	C	1B	2B	3B	SS	LF	CF	RF	OF	DH	PH	PR	WAR	Salary	
Carlos Almanzar	27	do DO	R	R	6' 2"	166	Nov 6, 1973	5	10	0	1	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0.3	$270,000	
Erick Almonte	23	do DO	R	R	6' 2"	245	Feb 1, 1978	1st	8	0	8	4	0	0	0	0	0	4	0	0	0	0	3	0	4	0.1		
Clay Bellinger	32	us US	R	R	6' 3"	195	Nov 18, 1968	3	51	22	51	47	0	0	6	0	17	2	13	10	2	25	1	3	7	-0.5	$230,000	
Brian Boehringer	32	us US	B	R	6' 2"	180	Jan 8, 1969	7	22	0	1	22	22	0	0	0	0	0	0	0	0	0	0	0	0	0.7	$350,000	
Darren Bragg	31	us US	L	R	5' 9"	180	Sep 7, 1969	8	5	0	5	3	0	0	0	0	0	0	0	0	3	3	0	2	2	0.0		
Scott Brosius	34	us US	R	R	6' 1"	200	Aug 15, 1966	11	120	120	120	120	0	0	0	0	120	0	0	2	0	2	0	0	0	2.1	$5,250,000	
Randy Choate	25	us US	L	L	6' 1"	205	Sep 5, 1975	2	37	0	5	37	37	0	0	0	0	0	0	0	0	0	0	0	0	0.8	$200,000	
Roger Clemens	38	us US	R	R	6' 4"	205	Aug 4, 1962	18	33	33	1	33	33	0	0	0	0	0	0	0	0	0	0	0	0	5.6	$10,300,000	All-Star
Michael Coleman	25	us US	R	R	5' 11"	180	Aug 16, 1975	3	12	10	12	9	0	0	0	0	0	0	1	7	3	9	3	0	1	-0.6	$204,000	
Bobby Estalella	26	us US	R	R	6' 1"	200	Aug 23, 1974	6	3	1	3	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0.0		
Todd Greene	30	us US	R	R	5' 10"	195	May 8, 1971	6	35	25	35	34	0	34	0	0	0	0	0	0	0	0	2	0	1	-0.9		
Adrian Hernandez	26	cu CU	R	R	6' 1"	185	Mar 25, 1975	1st	6	3	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0.4		
Orlando Hernandez	35	cu CU	R	R	6' 2"	210	Oct 11, 1965	4	17	16	0	17	17	0	0	0	0	0	0	0	0	0	0	0	0	1.4	$2,050,000	
Sterling Hitchcock	30	us US	L	L	6' 1"	200	Apr 29, 1971	10	10	9	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	-0.1		
Derek Jeter	27	us US	R	R	6' 3"	195	Jun 26, 1974	7	150	150	150	150	0	0	0	0	0	150	0	0	0	0	0	0	0	5.2	$12,600,000	All-Star
Brett Jodie	24	us US	R	R	6' 4"	208	Mar 25, 1977	1st	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.3		
Nick Johnson	22	us US	L	L	6' 3"	235	Sep 19, 1978	1st	23	16	23	15	0	0	15	0	0	0	0	0	0	0	6	5	0	-0.2		
David Justice	35	us US	L	L	6' 3"	195	Apr 14, 1966	13	111	107	111	25	0	0	0	0	0	0	16	0	11	25	85	3	0	0.5	$7,800,000	
Randy Keisler	25	us US	L	L	6' 3"	200	Feb 24, 1976	2	10	10	1	10	10	0	0	0	0	0	0	0	0	0	0	0	0	-0.2		
Brandon Knight	25	us US	L	R	6' 0"	175	Oct 1, 1975	1st	4	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	-0.4		
Chuck Knoblauch	32	us US	R	R	5' 9"	175	Jul 7, 1968	11	137	126	137	108	0	0	0	0	0	0	108	0	0	108	24	8	1	1.0	$6,000,000	
Ted Lilly	25	us US	L	L	6' 0"	195	Jan 4, 1976	3	26	21	2	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0.0		
Tino Martinez	33	us US	L	R	6' 2"	205	Dec 7, 1967	12	154	148	154	149	0	0	149	0	0	0	0	0	0	0	3	6	0	2.3	$6,300,000	
Donzell McDonald	26	us US	B	R	5' 11"	180	Feb 20, 1975	1st	5	0	5	3	0	0	0	0	0	0	1	2	0	3	0	2	2	0.0		
Ramiro Mendoza	29	pa PA	R	R	6' 2"	154	Jun 15, 1972	6	56	2	4	56	56	0	0	0	0	0	0	0	0	0	0	0	0	2.0	$1,600,000	
Mike Mussina	32	us US	L	R	6' 2"	185	Dec 8, 1968	11	34	34	3	34	34	0	0	0	0	0	0	0	0	0	0	0	0	7.1	$10,000,000	
Paul O'Neill	38	us US	L	L	6' 4"	200	Feb 25, 1963	17	137	133	137	130	0	0	0	0	0	0	0	0	130	130	6	4	0	0.5	$7,250,000	
Joe Oliver	35	us US	R	R	6' 3"	215	Jul 24, 1965	13	12	10	12	12	0	12	0	0	0	0	0	0	0	0	0	0	0	-0.3	$1,100,000	
Christian Parker	25	us US	R	R	6' 1"	200	Jul 3, 1975	1st	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.3	$200,000	
Robert Perez	32	ve VE	R	R	6' 3"	205	Jun 4, 1969	6	6	4	6	5	0	0	0	0	0	0	0	3	2	5	1	0	0	-0.2		
Andy Pettitte	29	us US	L	L	6' 5"	235	Jun 15, 1972	7	31	31	2	31	31	0	0	0	0	0	0	0	0	0	0	0	0	3.4	$7,000,000	All-Star
Jorge Posada	29	pr PR	B	R	6' 2"	215	Aug 17, 1971	7	138	133	138	131	0	131	2	0	0	0	0	0	0	0	6	5	0	3.0	$4,050,000	All-Star
Juan Rivera	22	ve VE	R	R	6' 2"	220	Jul 3, 1978	1st	3	0	3	3	0	0	0	0	0	0	0	1	2	3	0	0	0	-0.1		
Mariano Rivera	31	pa PA	R	R	6' 2"	195	Nov 29, 1969	7	71	0	5	71	71	0	0	0	0	0	0	0	0	0	0	0	0	3.4	$9,150,000	All-Star
Henry Rodriguez	33	do DO	L	L	6' 1"	180	Nov 8, 1967	10	5	1	5	0	0	0	0	0	0	0	0	0	0	0	1	4	0	-0.2	$1,500,000	
Scott Seabol	26	us US	R	R	6' 4"	200	May 17, 1975	1st	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0.0	$200,000	
Luis Sojo	36	ve VE	R	R	5' 11"	172	Jan 3, 1965	12	39	19	39	37	0	0	8	7	17	5	0	0	0	0	1	5	0	-0.7	$500,000	
Alfonso Soriano	25	do DO	R	R	6' 1"	195	Jan 7, 1976	3	158	157	158	156	0	0	0	156	0	0	0	0	0	0	2	1	0	0.0	$630,000	
Shane Spencer	29	us US	R	R	5' 11"	210	Feb 20, 1972	4	80	73	80	68	0	0	0	0	0	0	44	0	28	68	14	3	1	2.1	$320,000	
Mike Stanton	34	us US	L	L	6' 1"	190	Jun 2, 1967	13	76	0	6	76	76	0	0	0	0	0	0	0	0	0	0	0	0	2.7	$2,450,000	All-Star
Randy Velarde	38	us US	R	R	6' 0"	185	Nov 24, 1962	15	15	12	15	10	0	0	1	0	7	0	2	0	1	3	5	3	0	0.4		
Bernie Williams	32	pr PR	B	R	6' 2"	180	Sep 13, 1968	11	146	145	146	144	0	0	0	0	0	0	0	144	0	144	1	1	0	5.2	$12,357,143	All-Star
Gerald Williams	34	us US	R	R	6' 2"	190	Aug 10, 1966	10	38	6	38	26	0	0	0	0	0	0	6	11	12	26	7	9	12	-0.4		
Todd Williams	30	us US	R	R	6' 3"	185	Feb 13, 1971	4	15	0	0	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0.1	$320,000	
Enrique Wilson	27	do DO	B	R	5' 11"	160	Jul 27, 1973	5	48	22	48	42	0	0	0	7	19	20	0	0	0	0	1	11	2	0.3		
Jay Witasick	28	us US	R	R	6' 4"	205	Aug 28, 1972	6	32	0	3	32	32	0	0	0	0	0	0	0	0	0	0	0	0	-0.1		
Mark Wohlers	31	us US	R	R	6' 4"	207	Jan 23, 1970	11	31	0	5	31	31	0	0	0	0	0	0	0	0	0	0	0	0	0.2	
