Rk	Pos	Name	Age	G	PA	AB	R	H	2B	3B	HR	RBI	SB	CS	BB	SO	BA	OBP	SLG	OPS	OPS+	TB	GDP	HBP	SH	SF	IBB
1	C	Dave Valle	32	135	500	423	48	109	19	0	13	63	1	0	48	56	.258	.354	.395	.748	101	167	18	17	8	4	4
2	1B	Tino Martinez*	25	109	464	408	49	108	25	1	17	60	0	3	45	56	.265	.343	.456	.799	113	186	7	5	3	3	9
3	2B	Bret Boone	24	76	302	271	31	68	12	2	12	38	2	3	17	52	.251	.301	.443	.743	97	120	6	4	6	4	1
4	SS	Omar Vizquel#	26	158	630	560	68	143	14	2	2	31	12	14	50	71	.255	.319	.298	.618	67	167	7	4	13	3	2
5	3B	Mike Blowers	28	127	429	379	55	106	23	3	15	57	1	5	44	98	.280	.357	.475	.832	121	180	12	2	3	1	3
6	LF	Mike Felder#	31	109	374	342	31	72	7	5	1	20	15	9	22	34	.211	.262	.269	.531	43	92	2	2	7	1	2
7	CF	Ken Griffey Jr.*	23	156	691	582	113	180	38	3	45	109	17	9	96	91	.309	.408	.617	1.025	171	359	14	6	0	7	25
8	RF	Jay Buhner	28	158	675	563	90	153	28	3	27	98	2	5	100	144	.272	.379	.476	.855	128	268	12	2	2	8	11
9	DH	Pete O'Brien*	35	72	239	210	30	54	7	0	7	27	0	0	26	21	.257	.335	.390	.725	94	82	8	0	0	3	4
10	2B	Rich Amaral	31	110	421	373	53	108	24	1	1	44	19	11	33	54	.290	.348	.367	.715	92	137	5	3	7	5	0
11	CI	Dave Magadan*	30	71	269	228	27	59	11	0	1	21	2	0	36	33	.259	.356	.320	.676	83	73	9	0	2	3	3
12	LF	Mackey Sasser*	30	83	208	188	18	41	10	2	1	21	1	0	15	30	.218	.274	.309	.583	56	58	7	1	0	4	6
13	UT	Greg Litton	28	72	199	174	25	52	17	0	3	25	0	1	18	30	.299	.366	.448	.814	118	78	6	1	5	1	2
14	DH	Edgar Martinez	30	42	165	135	20	32	7	0	4	13	0	0	28	19	.237	.366	.378	.744	100	51	4	0	1	1	1
15	LF	Brian Turang	26	40	160	140	22	35	11	1	0	7	6	2	17	20	.250	.340	.343	.682	84	48	3	2	1	0	0
16	C	Bill Haselman	27	58	154	137	21	35	8	0	5	16	2	1	12	19	.255	.316	.423	.739	97	58	5	1	2	2	0
17	OF	Henry Cotto	32	54	109	105	10	20	1	0	2	7	5	4	2	22	.190	.213	.257	.470	26	27	0	1	1	0	0
18	OF	Dann Howitt*	29	32	80	76	6	16	3	1	2	8	0	0	4	18	.211	.250	.355	.605	61	27	0	0	0	0	0
