Name	Age	G	GS	CG	Inn	Ch	PO	A	E	DP	Fld%	Rtot	Rtot/yr	RF/9	RF/G	PB	WP	SB	CS	CS%	lgCS%	PICK	Pos Summary
Rich Amaral	31	102	91	73	817.2	460	180	270	10	71	.978	14	21	4.95	3.69								2B-3B-SS-1B-DH
Bob Ayrault	27	14	0	0	19.2	2	0	2	0	0	1.000			0.92	0.14		0	0	0			0	P
Wally Backman	33	10	8	5	66.0	22	4	15	3	0	.864	1	20	2.59	1.90								3B-2B
Mike Blowers	28	121	104	86	942.2	310	70	225	15	14	.952	6	8	2.82	2.38	0	0	0	0			0	3B-LF-RF-C-1B-DH
Bret Boone	24	74	69	67	622.1	320	140	177	3	55	.991	-3	-7	4.58	4.23								2B-DH
Chris Bosio	30	29	24	3	164.1	35	13	21	1	2	.971			1.86	1.13		5	8	6	43%	36%	0	P-DH
Jay Buhner	28	148	146	135	1287.1	281	266	9	6	2	.979	-12	-11	1.92	1.74								RF-DH
Norm Charlton	30	34	0	0	34.2	2	0	2	0	1	1.000			0.52	0.06		6	3	0	0%	36%	0	P
Jim Converse	21	4	4	0	20.1	8	2	6	0	0	1.000			3.54	2.00		0	2	2	50%	36%	0	P
Henry Cotto	32	34	22	15	203.1	60	59	0	1	0	.983	2	13	2.61	1.23								LF-CF-RF-DH
John Cummings	24	10	8	1	46.1	11	3	6	2	0	.818			1.75	0.90		1	2	4	67%	36%	0	P
Rich DeLucia	28	30	1	0	42.2	9	2	7	0	0	1.000			1.90	0.30		4	2	2	50%	36%	0	P
Mike Felder	31	96	74	69	708.1	157	143	12	2	1	.987	3	5	1.97	1.49								LF-CF-3B-DH
Dave Fleming	23	26	26	1	167.1	37	9	28	0	1	1.000			1.99	1.42		2	8	12	60%	36%	1	P
Ken Griffey Jr.	23	140	137	128	1209.1	325	314	8	3	3	.991	8	8	2.40	2.03								CF-1B-DH
Mike Hampton	20	13	3	0	17.0	3	0	2	1	0	.667			1.06	0.15		1	4	0	0%	36%	0	P
Erik Hanson	28	31	30	7	215.0	53	25	25	3	3	.943			2.09	1.56		8	15	13	46%	36%	1	P-DH
Bill Haselman	27	50	29	26	309.1	255	236	17	2	2	.992	-5	-19	7.36	4.60	5	12	35	10	22%	36%	1	C-RF-DH
Dwayne Henry	31	31	1	0	54.0	2	1	1	0	0	1.000			0.33	0.06		7	3	2	40%	36%	0	P
Brad Holman	25	19	0	0	36.1	4	1	3	0	0	1.000			0.99	0.21		2	1	0	0%	36%	0	P
