Rk	Pos	Name	Age	W	L	W-L%	ERA	G	GS	GF	CG	SHO	SV	IP	H	R	ER	HR	BB	IBB	SO	HBP	BK	WP	BF	ERA+	FIP	WHIP	H9	HR9	BB9	SO9	SO/W
1	SP	Randy Johnson*	29	19	8	.704	3.24	35	34	1	10	3	1	255.1	185	97	92	22	99	1	308	16	2	8	1043	135	3.05	1.112	6.5	0.8	3.5	10.9	3.11
2	SP	Erik Hanson	28	11	12	.478	3.47	31	30	0	7	0	0	215.0	215	91	83	17	60	6	163	5	0	8	898	126	3.41	1.279	9.0	0.7	2.5	6.8	2.72
3	SP	Tim Leary	34	11	9	.550	5.05	33	27	6	0	0	0	169.1	202	104	95	21	58	5	68	8	2	6	746	87	4.97	1.535	10.7	1.1	3.1	3.6	1.17
4	SP	Dave Fleming*	23	12	5	.706	4.36	26	26	0	1	1	0	167.1	189	84	81	15	67	6	75	6	0	2	737	101	4.57	1.530	10.2	0.8	3.6	4.0	1.12
5	SP	Chris Bosio	30	9	9	.500	3.45	29	24	2	3	1	1	164.1	138	75	63	14	59	3	119	6	0	5	678	127	3.83	1.199	7.6	0.8	3.2	6.5	2.02
6	CL	Norm Charlton*	30	1	3	.250	2.34	34	0	29	0	0	18	34.2	22	12	9	4	17	0	48	0	0	6	141	189	3.19	1.125	5.7	1.0	4.4	12.5	2.82
7	RP	Jeff Nelson	26	5	3	.625	4.35	71	0	13	0	0	1	60.0	57	30	29	5	34	10	61	8	0	2	269	101	4.14	1.517	8.6	0.8	5.1	9.2	1.79
8	RP	Dwayne Henry	31	2	1	.667	6.67	31	1	15	0	0	2	54.0	56	40	40	6	35	4	35	2	0	7	249	66	5.19	1.685	9.3	1.0	5.8	5.8	1.00
9	RP	Dennis Powell*	29	0	0		4.15	33	2	7	0	0	0	47.2	42	22	22	7	24	2	32	1	0	2	197	106	5.13	1.385	7.9	1.3	4.5	6.0	1.33
10	RP	Rich DeLucia	28	3	6	.333	4.64	30	1	11	0	0	0	42.2	46	24	22	5	23	3	48	1	0	4	195	95	3.95	1.617	9.7	1.1	4.9	10.1	2.09
11		John Cummings*	24	0	6	.000	6.02	10	8	0	1	0	0	46.1	59	34	31	6	16	2	19	2	1	1	207	73	5.02	1.619	11.5	1.2	3.1	3.7	1.19
12		Brad Holman	25	1	3	.250	3.72	19	0	9	0	0	3	36.1	27	17	15	1	16	2	17	5	0	2	152	119	4.14	1.183	6.7	0.2	4.0	4.2	1.06
13		Ted Power	38	2	2	.500	3.91	25	0	18	0	0	13	25.1	27	11	11	1	9	1	16	0	0	1	105	114	3.30	1.421	9.6	0.4	3.2	5.7	1.78
14		Jim Converse	21	1	3	.250	5.31	4	4	0	0	0	0	20.1	23	12	12	0	14	2	10	0	0	0	93	84	4.07	1.820	10.2	0.0	6.2	4.4	0.71
15		Bob Ayrault	27	1	1	.500	3.20	14	0	6	0	0	0	19.2	18	8	7	1	6	1	7	0	0	0	80	139	3.85	1.220	8.2	0.5	2.7	3.2	1.17
16		Russ Swan*	29	3	3	.500	9.15	23	0	6	0	0	0	19.2	25	20	20	2	18	1	10	2	0	0	100	49	6.34	2.186	11.4	0.9	8.2	4.6	0.56
17		Steve Ontiveros	32	0	2	.000	1.00	14	0	8	0	0	0	18.0	18	3	2	0	6	2	13	0	0	1	72	446	2.54	1.333	9.0	0.0	3.0	6.5	2.17
18		Mike Hampton*	20	1	3	.250	9.53	13	3	2	0	0	1	17.0	28	20	18	3	17	3	8	0	1	1	95	47	7.34	2.647	14.8	1.6	9.0	4.2	0.47
19		Roger Salkeld	22	0	0		2.51	3	2	0	0	0	0	14.1	13	4	4	0	4	0	13	1	0	0	61	179	2.22	1.186	8.2	0.0	2.5	8.2	3.25
20		Kevin King*	24	0	1	.000	6.17	13	0	3	0	0	0	11.2	9	8	8	3	4	1	8	1	0	0	49	73	6.25	1.114	6.9	2.3	3.1	6.2	2.00
21		Erik Plantenberg*	24	0	0		6.52	20	0	4	0	0	1	9.2	11	7	7	0	12	1	3	1	0	1	53	70	6.40	2.379	10.2	0.0	11.2	2.8	0.25
22		Zak Shinall	24	0	0		3.38	1	0	0	0	0	0	2.2	4	1	1	1	2	0	0	0	0	0	14	147	10.11	2.250	13.5	3.4	6.8	0.0	0.00
23		Dave Wainhouse	25	0	0		27.00	3	0	0	0	0	0	2.1	7	7	7	1	5	0	2	1	0	0	20	19	14.56	5.143	27.0	3.9	19.3	7.7	0.40
