Name	Age		B	T	Ht	Wt	DoB	Yrs	G	GS	Batting	Defense	P	C	1B	2B	3B	SS	LF	CF	RF	OF	DH	PH	PR	WAR	Salary	
Rich Amaral	31	us US	R	R	6' 0"	175	Apr 1, 1962	3	110	97	110	102	0	0	3	77	19	14	0	0	0	0	9	7	2	3.2	$137,500	
Bob Ayrault	27	us US	R	R	6' 4"	230	Apr 27, 1966	2	14	0	0	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0.4		
Wally Backman	33	us US	B	R	5' 9"	160	Sep 22, 1959	14	10	8	10	10	0	0	0	1	9	0	0	0	0	0	0	1	0	0.0		
Mike Blowers	28	de DE	R	R	6' 2"	190	Apr 24, 1965	5	127	104	127	121	0	1	1	0	117	0	1	0	1	2	3	8	2	3.1	$155,000	
Bret Boone	24	us US	R	R	5' 10"	180	Apr 6, 1969	2	76	70	76	74	0	0	0	74	0	0	0	0	0	0	1	0	2	1.0		
Chris Bosio	30	us US	R	R	6' 3"	220	Apr 3, 1963	8	30	24	1	29	29	0	0	0	0	0	0	0	0	0	1	0	1	2.8	$2,750,000	
Jay Buhner	28	us US	R	R	6' 3"	220	Aug 13, 1964	7	158	155	158	148	0	0	0	0	0	0	0	0	148	148	10	3	0	2.5	$2,772,500	
Norm Charlton	30	us US	B	L	6' 3"	195	Jan 6, 1963	6	34	0	1	34	34	0	0	0	0	0	0	0	0	0	0	0	0	1.0	$2,335,000	
Jim Converse	21	us US	L	R	5' 9"	180	Aug 17, 1971	1st	4	4	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0.0	$109,000	
Henry Cotto	32	us US	R	R	6' 2"	178	Jan 5, 1961	10	54	25	54	34	0	0	0	0	0	0	23	9	4	34	12	13	9	-0.7	$900,000	
John Cummings	24	us US	L	L	6' 3"	200	May 10, 1969	1st	10	8	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	-0.4	$109,000	
Rich DeLucia	28	us US	R	R	6' 0"	185	Oct 7, 1964	4	30	1	0	30	30	0	0	0	0	0	0	0	0	0	0	0	0	-0.1	$270,000	
Mike Felder	31	us US	B	R	5' 8"	160	Nov 18, 1961	9	109	75	109	96	0	0	0	0	2	0	89	7	0	95	6	26	1	-1.0	$850,000	
Dave Fleming	23	us US	L	L	6' 3"	200	Nov 7, 1969	3	26	26	0	26	26	0	0	0	0	0	0	0	0	0	0	0	0	2.0	$300,000	
Ken Griffey Jr.	23	us US	L	L	6' 3"	195	Nov 21, 1969	5	156	156	156	140	0	0	1	0	0	0	0	139	0	139	19	0	0	8.8	$4,150,000	All-Star
Mike Hampton	20	us US	R	L	5' 10"	185	Sep 9, 1972	1st	13	3	1	13	13	0	0	0	0	0	0	0	0	0	0	0	0	-1.2	$109,000	
Erik Hanson	28	us US	R	R	6' 6"	210	May 18, 1965	6	33	30	2	31	31	0	0	0	0	0	0	0	0	0	1	0	2	4.6	$1,250,000	
Bill Haselman	27	us US	R	R	6' 3"	205	May 25, 1966	3	58	33	58	50	0	49	0	0	0	0	0	0	2	2	4	6	3	0.1	$122,500	
Dwayne Henry	31	us US	R	R	6' 3"	205	Feb 16, 1962	10	31	1	0	31	31	0	0	0	0	0	0	0	0	0	0	0	0	-0.7		
Brad Holman	25	us US	R	R	6' 5"	205	Feb 9, 1968	1st	19	0	1	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0.3	$950,000	
Chris Howard	27	us US	R	R	6' 2"	200	Feb 27, 1966	2	4	0	4	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0.0		
Dann Howitt	29	us US	L	R	6' 5"	205	Feb 13, 1964	5	32	17	32	29	0	0	0	0	0	0	16	6	12	29	2	5	1	0.0		
Randy Johnson	29	us US	R	L	6' 10"	225	Sep 10, 1963	6	36	34	2	36	35	0	0	0	0	0	1	0	0	1	0	0	0	6.6	$2,625,000	All-Star
Kevin King	24	us US	L	L	6' 4"	170	Feb 11, 1969	1st	13	0	0	13	13	0	0	0	0	0	0	0	0	0	0	0	0	-0.3		
Tim Leary	34	us US	R	R	6' 3"	205	Dec 23, 1958	12	33	27	1	33	33	0	0	0	0	0	0	0	0	0	0	0	0	0.1	$1,800,000	
Greg Litton	28	us US	R	R	6' 0"	175	Jul 13, 1964	5	72	44	72	56	0	0	13	16	7	5	21	0	2	22	11	18	1	1.2	$200,000	
Dave Magadan	30	us US	L	R	6' 3"	190	Sep 30, 1962	8	71	62	71	66	0	0	41	0	27	0	0	0	0	0	2	9	0	-0.1		
Edgar Martinez	30	us US	R	R	6' 0"	175	Jan 2, 1963	7	42	40	42	16	0	0	0	0	16	0	0	0	0	0	24	2	0	0.2	$3,016,666	
Tino Martinez	25	us US	L	R	6' 2"	205	Dec 7, 1967	4	109	109	109	105	0	0	105	0	0	0	0	0	0	0	4	0	0	2.2	$287,500	
Jeff Nelson	26	us US	R	R	6' 8"	225	Nov 17, 1966	2	71	0	3	71	71	0	0	0	0	0	1	0	0	1	0	0	0	0.4	$195,000	
Marc Newfield	20	us US	R	R	6' 4"	205	Oct 19, 1972	1st	22	17	22	5	0	0	0	0	0	0	5	0	0	5	15	3	0	-0.4	$109,000	
Pete O'Brien	35	us US	L	L	6' 1"	185	Feb 9, 1958	12	72	56	72	8	0	0	7	0	0	0	1	0	0	1	54	14	0	0.1	$2,187,500	
Steve Ontiveros	32	us US	R	R	6' 0"	180	Mar 5, 1961	7	14	0	0	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0.8	$115,000	
Greg Pirkl	22	us US	R	R	6' 5"	225	Aug 7, 1970	1st	7	6	7	5	0	0	5	0	0	0	0	0	0	0	2	1	0	-0.4	$109,000	
